Country_Id,Synonym_Id,Synonym
4,1,Afghanistan
8,2,Albania
12,3,Algeria
16,4,American Samoa
20,5,Andorra
24,6,Angola
660,7,Anguilla
10,8,Antarctica
28,9,Antigua and Barbuda
32,10,Argentina
51,11,Armenia
533,12,Aruba
36,13,Australia
40,14,Austria
31,15,Azerbaijan
44,16,The Bahamas
48,17,Bahrain
50,18,Bangladesh
52,19,Barbados
112,20,Belarus
56,21,Belgium
84,22,Belize
204,23,Benin
60,24,Bermuda
64,25,Bhutan
68,26,Bolivia
535,27,"Bonaire, Sint Eustatius and Saba"
70,28,Bosnia and Herzegovina
72,29,Botswana
74,30,Bouvet Island
76,31,Brazil
86,32,British Indian Ocean Territory (the)
96,33,Brunei
100,34,Bulgaria
854,35,Burkina Faso
108,36,Burundi
132,37,Cabo Verde
116,38,Cambodia
120,39,Cameroon
124,40,Canada
136,41,Cayman Islands
140,42,Central African Republic
148,43,Chad
152,44,Chile
156,45,China
162,46,Christmas Island
166,47,Cocos (Keeling) Islands (the)
170,48,Colombia
174,49,Comoros (the)
180,50,Congo (Kinshasa)
178,51,Congo (Brazzaville)
178,52,Republic of the Congo
184,53,Cook Islands (the)
188,54,Costa Rica
191,55,Croatia
192,56,Cuba
531,57,Curacao
196,58,Cyprus
203,59,Czechia
384,60,Cote d'Ivoire
208,61,Denmark
262,62,Djibouti
212,63,Dominica
214,64,Dominican Republic
218,65,Ecuador
818,66,Egypt
222,67,El Salvador
226,68,Equatorial Guinea
232,69,Eritrea
233,70,Estonia
748,71,Eswatini
231,72,Ethiopia
238,73,Falkland Islands (the) [Malvinas]
234,74,Faroe Islands (the)
242,75,Fiji
246,76,Finland
250,77,France
254,78,French Guiana
258,79,French Polynesia
260,80,French Southern Territories (the)
266,81,Gabon
270,82,Gambia (the)
268,83,Georgia
276,84,Germany
288,85,Ghana
292,86,Gibraltar
300,87,Greece
304,88,Greenland
308,89,Grenada
312,90,Guadeloupe
316,91,Guam
320,92,Guatemala
831,93,Guernsey
324,94,Guinea
624,95,Guinea-Bissau
328,96,Guyana
332,97,Haiti
334,98,Heard Island and McDonald Islands
336,99,Holy See
340,100,Honduras
344,101,Hong Kong
348,102,Hungary
352,103,Iceland
356,104,India
360,105,Indonesia
364,106,Iran
368,107,Iraq
372,108,Ireland
833,109,Isle of Man
376,110,Israel
380,111,Italy
388,112,Jamaica
392,113,Japan
832,114,Jersey
400,115,Jordan
398,116,Kazakhstan
404,117,Kenya
296,118,Kiribati
408,119,Korea (the Democratic People's Republic of)
410,120,"Korea, South"
414,121,Kuwait
417,122,Kyrgyzstan
418,123,Lao People's Democratic Republic (the)
428,124,Latvia
422,125,Lebanon
426,126,Lesotho
430,127,Liberia
434,128,Libya
438,129,Liechtenstein
440,130,Lithuania
442,131,Luxembourg
446,132,Macao
450,133,Madagascar
454,134,Malawi
458,135,Malaysia
462,136,Maldives
466,137,Mali
470,138,Malta
584,139,Marshall Islands (the)
474,140,Martinique
478,141,Mauritania
480,142,Mauritius
175,143,Mayotte
484,144,Mexico
583,145,Micronesia (Federated States of)
498,146,Moldova
492,147,Monaco
496,148,Mongolia
499,149,Montenegro
500,150,Montserrat
504,151,Morocco
508,152,Mozambique
104,153,Myanmar
